#: table_doi: 10.17182/hepdata.91374.v4/t88,,
#: name: Figure 41cd,,
#: description: Observed and Expected upper cross-section limits for wino-bino scenarios, assuming $m(\tilde{\chi}_{2}^{0}) \times m(\tilde{\chi}_{1}^{0})<0$.,
#: data_file: figure_41cd.yaml,,
#: keyword reactions: P P --> WINO BINO,,
#: keyword cmenergies: 13000,,
#: keyword phrases: SUSY | Proton-Proton Scattering,,
$m(\tilde{\chi}_{2}^{0})$ [GeV],,"$\Delta m(\tilde{\chi}_{2}^{0},\tilde{\chi}_{1}^{0})$ [GeV]"
,,
,,
60,100,61.045
40,100,25.937
25,100,12.807
15,100,4.4756
10,100,2.1229
5,100,2.8687
3,100,7.3876
2,100,15.131
1.5,100,66.737
1,100,1924.2
25,125,7.8423
15,125,4.4124
10,125,1.7926
5,125,2.5188
3,125,7.4101
2,125,19.013
1.5,125,77.573
60,125,26.266
40,125,9.5171
35,125,12.576
30,125,12.755
40,150,7.2569
35,150,7.6437
30,150,7.5334
25,150,6.0823
15,150,3.1125
10,150,1.3052
5,150,2.2765
3,150,6.7623
2,150,20.864
1.5,150,100.12
60,150,19.048
60,175,11.493
40,175,6.0796
35,175,7.1527
30,175,5.8088
25,175,5.1872
15,175,2.2864
10,175,0.98829
5,175,1.9412
3,175,7.3608
2,175,43.248
60,200,8.8474
40,200,3.6094
35,200,5.9465
30,200,4.2137
25,200,4.3689
15,200,1.9317
10,200,1.0542
5,200,1.8647
3,200,7.8183
2,200,69.745
60,225,6.8938
40,225,3.5194
25,225,3.5231
15,225,2.0327
10,225,0.8534
5,225,1.976
3,225,8.7478
2,225,54.503
40,250,3.1359
15,250,1.8468
10,250,0.86543
5,250,2.1151
3,250,8.8801
40,275,3.079
25,275,2.9521
15,275,1.6019
10,275,0.93614
5,275,1.9721
3,275,9.6084
25,300,2.7983
15,300,11.173
10,300,0.98973
5,300,2.0407
25,325,2.2372
15,325,1.6481
10,325,0.80082
5,325,2.1432
5,90,2.6428
3,90,7.9453
2,90,14.646
1.5,90,30.403
1,90,509.65
